,places,collected_reviews
10,"Глэмпинг Китовый Берег,",['мочь предположить получить столько новый эмоция встретить столько интересный человек край земли… ехать путешествие посоветовать друг август остаться полный восторг прямой самолёт пермь-мурманск оставить доля сомнение лететь отель мурманск забрать гид максим достаточно комфортный land cruiser дорога база длиться час заметить максим занять наш внимание история останавливаться выходить авто посозерцать вид посмотреть памятник заехать долина слава база тепло встретить милый девушка елена напоить чаемый трава заселить комфортный глэмпинг отправить баня кстати баня полюбиться ходить каждый день дубовый']
11,"Zelenaya Tropa,","['итак платить рубль ночь еда доплачивать килограммовый собака получать 1. домик который кишеть муравей буквальный смысл повсюду кровать кухня стакан который нужно поставить холодильник хотеть оставить муравей стена чистый чайник ванной…везда .. спать просто чувствовать шевелиться вокруг 2. пол ванная который стоить вода просто хлюпать выливаться щель наступить постоянно мокрый нога носка полотенце заезд включить электрический тёплый пол…видимо гость ещё коротнуть клещ который снять свой обработать собаки…предупреждать впервые минус', 'явно точно понимать соответствие цена качество опытный путешественник число формат глэмпинг впервые столкнуться большой дифференциация цена достаться дача дача самый некачественный недоделать старый совершенно соответствовать изначально фото видно организация глэмпинг заниматься женщина гель душа ушной палочка подушка стразик продумать достроить менять бельё домик завести зубной щётка тапка тропинка домик убрать строительный материал какашка деревянный тропинка додуматься ночь дача обойтись тысяча отдельный доплата завтрак внимание цена пятизвёздочный отель центр москва ночь завтрак', 'отличный глэмпинг множество вариант размещение выбрать домик дерево удобство кухня терраса отличный вид домик хорошо обустроить оснастить необходимый минимум хороший техника косметика домик гель душа кондиционер какой-то авторский разработка эфирный масло прочий полезность понравиться мятный мыло рука почему-то оно общий рукомойник общий приём пища вечерний посиделки костёр хорошо продумать питание понравиться домашний кухня продукт местный ферма разный настольный игра ребёнок взрослый важный момент глэмпинг dog friendly встретить многий любитель собака общий радость потомец рассматривать повторный посещение', 'добрый день лагер око ночёвка день привести наш компания восторг время мало погода дождливый коллектив занятие маткласс сделать свой дело окунуться природа мир математик ребёнок хотеть продолжать продолжать надеяться минимум неделя путешествие маткласс угодный спасибо профессионализм гибкий подход', 'завершать пребывание какой-нибудь отель стараться сформировать свой комплексный впечатление цель понять стоить сюда возвращаться мнение зелёный тропа сформировать основание несколько фактор номер малюсенький домик который сложно разойтись 2м человек внутренний эргономика совершенно непродуманный гель шампунь душа плохо спускать вода матрас подушка одеяло низкий качество который удобно спать окно дуть обогреватель дребезжать ночью мешать еда приём пища доступно несколько вид блюдо практически несъедобный продукт использоваться некачественный еда возможный ощущение тошнота ощущение съесть ведро щебень также хотеть отметить']"
12,"Мамонт Camp,","['потрясать единение комфорт уют невероятно вкусный еда авторский подача природа возможность проснуться шум река единый посторонний звук вид горный алтай команда организатор потрясти свой идея забота каждый наш просьба самый незначительный остаться внимание ребята запас начинать оборудование треккинг заканчивать ваш любимый вино ребята хороший обязательно вернуться', 'полный восторг программа человек отдых детство кормить заботиться твой комфорт ещё активность продумать идеальный нагрузка ехать отдыхать совершать туристический подвиг лагерь берег река просыпаться шатёр панорамный вид слышать природа каждый секунда запах туман река цвет чувствоваться весь природный самобытность сочетаться ресторанный сервис горячий вода 24/7 подогревать простыня баня кедровый купель однажды костёр видеть лисица ясный небо гарантировать заставить млечный путь хороший опыт знакомство алтай команда mamont camp жаль погрузиться глэмпинг год', 'волшебный продумать мелочь внимание деталь поражать комфортный стильный шатёр душа горячий вода потрясать кухня красивый жаркий баня самый главное команда администрация официант внимательный предать свой дело профессионал обязательно вернуться снова']"
13,"Скала,","['проживать домик вид море ощутить полный идиллия спокойствие понять территория -хотеть удивительно вторник среда март связать хороший отдохнуть суета пожарить мясо провести время семья гулять любоваться море незначительный минуться территория работать ресторан предупреждать бронирование подготовиться всё ...', 'отдыхать парень начало сентябрь самый бюджетный размещение тент лес бюджетный сложно назвать хотеться попробовать новый вид отдых глэмпинг тэнт далеко красивый фотография из-за сырость послать тёмный пятно характерный запах коврик одеяло конец сезон первый свежесть матрас удобный светильник обогреватель работать пляж ужасный покупаться особо получиться пройти минута побережье судно рио симпатичный пляж галька небольшой народ моститься друг друг туалет душа сделать самый дешёвый материал целое чисто вид море город отель правда потрясать территория чистый персонал вежливый казаться', 'часто приезжать кабардинка покупаться море новороссийск появиться модный глемпинг скала несколько год сезон туда приезжать привозить свой гость приехать год пляж ужасный огромный камень вода водоросль отсутствие тень пляж купаться приезжать покушать кафе полюбоваться море попасть территория остановить охранник который грубый форма объяснить приехать кафе туда идти нечего территория ходить превращаться охранник главный начальник плюс глемпинг вид море минус отсутствие бесплатный парковка ужасный пляж ужасный море год ужасный сервис книга отзыв предложение найти поэтому', 'выбрать вариант размещение попробовать формат глэмпинг отдыхать семья начало июнь местоположение глэмпинг великолепный вдали шумный улица перегрузить пляж центральный улица кабардинка наш выбор пасть шатёр-сафари ошибиться шатёр-сафари самый хороший представить шатёр открываться живописный вид море закат обстановка шатёр постельный бельё хорошо минус именно отсутствовать wifi везде кроме ресепшн шатёр давать полотенце неожиданный учитывать ценник аренда элементарный набор посуда столовый прибор наш просьба принести полотенце мочь сказать персонал скала дружелюбный отзывчивый нерасторопный касаться территория', 'спонтанный поездка случайно наслать глемпинг решить попробовать необычный способ размещение – кемпер ранний опыт будущее хотеть приобрести кемпер поэтому своеобразный тест-драйв остаться положительный эмоция двое думать комфорт разместиться человек необходимый условие проживание всё весьма уютный чисто самый главное — вид – прям море запомниться территория больший чистый персонал вежливый заселить быстро всё подробно рассказать целое дать дополнительный информация посёлок минус погода претензия планировать вернуться разгар сезон']"
14,"Халактырский пляж,",['']
15,"Шикша,","['прекрасный отдых душа тело бескрайний водный простор вокруг остров прозрачный глубокий озеро остров влажный богатый ягода гриб лес уесть вдали человек тёплый удобный палатка большой двуспальный кровать больший сытный завтрак вкусный ужин окружить любовь забота александр татьяна', 'шикарный отдых шикарный шалаш третий год ездить слеза хотеться уезжать ребята невероятный молодец гостеприимно палатка-тент деревянный подмостки полметра простыня подогрев лампа центр палатка греть градус душевой туалет дерево нормальноить канализация подогрев евента тент завтрак ужин кинотеатр солярий лес гриб оз ра вообще молчать приезжать пожалеть', 'обалденный потрясать природа чисто дружелюбно вкусно палатка тёплый аккуратный чистый вкусный завтрак ужин обед кафе домашний еда близко мммм булочка черника развлечение потрясать лес озеро сап рыбалка настольный теннис общение костёр вечер группа выступать вечером детей- батут игра беготня ребёнок ездить втроём день 4-летний ребёнок восторг ощущение хороший домашний гостиница единение природа казаться короткий отдых учитывать дорога день самый оно', 'чудесный душевный озеро селигер остров хачин комфортный палатка обогреватель электричество вкусный разнообразный завтрак ужин лодка велосипед свободный пользование']"
16,"База отдыха Салокюля,","['отдыхать чудесный местечко неделя сентябрь 2мя семья маленький ребёнок 1-5ть долго подбирать подходящий вариант прогадать хутор салокюля находиться живописный ладожский шхера наш мужчина заниматься рыбалка брать аренда лодка дразнить потрясать фото видио остров нерпа заснять рыбка кстати поймать арендовать котелок сварить ухо ребёнок понравиться минизоопарк гусь енот кролик курочка приходить прямо домик правда оказаться деревенский аутентичный хуторок банька чан озеро -вообще отельный сказка улица идти дождик ребёнок сидеть тёплый чан наслаждаться окружающий природный красота мужчина наш нырять банька озеро настоящий', 'уютный деревянный домик живописный природа свежий воздух идеальный рыбалка прогулка лодочка понравиться банька вода летний время хотеть посетить зимой', 'хотеть выразить благодарность приятный отдых ваш база стоить возвращаться рекомендовать друг спасибо тишина уют отлично отдохнуть обязательно приехать', 'отличный аутентичный ребёночек понравиться бабушка побывать чисто опрятно видно база прокачка деньга тёплый душевный весь рекомендовать пожалеть', 'понравиться чистенько опрятно первый надеяться последний база новенький несколько год назад енотик подрастить кролик супер любим весь советовать']"
17,"Дальний кордон,","['турбаза находиться недалеко москва примерно км минский шоссе второстепенный дорога слегка убитый грейдер территория общий сложность примерно 10-12 домик снимать шатёр помост глэмпинг ночь каждый свой помост вход река мангал достаточный расстояние чувствовать уединение турбаза дружелюбный питомец заплатить небольшой сумма смочь взять собака река чистый вид вокруг замечательный персонал гостеприимный отзывчивый готовый помочь однозначно рекомендовать', 'провести выходной конец сентябрь база несколько семья отметить семейный праздник тихий спокойный территория уходить детский площадка каждый домик мангал уличный мебель удобно пожарить мясо природа домик тёплый чистенький укомплектовать весь необходимый единственный вода санузел специфический запах рекомендовать питьевой вода чай брать достать первый ночь муха который осень слетаться тепло ночью оставить свет туалет дружный толпа улетать туда конец сезон поэтому некоторый трудность кафе нужно заранее договариваться обговаривать меню спасибо сергей вкусный обед завтрак столь стеснённый обстоятельство', 'увидеть территория база глэмпинг несомненно внимание остаться сразу сказать минус единственный съехать основной трасса около км прийтись потрястись грунтовый дорога разбитый факт огорчить предвкушение отдых глэмпинг глэмпинг полностью мебелировать подвести электричество полноценный спальный холодильник чайник посуда частично умывальник подогрев веранда располагаться стол стул гамак бояться промокнуть замёрзнуть бояться проверить во-первых выполнить безупречно прочный материал испытать гром сильный ветер ливень находиться внутри выдержать во-вторых']"
18,"Айвенго,","['выбрать отдых алтай альтернатива поездка море турция какой-то момент понять хотеть тишина покой никакой эксклюзив заменить единение природа наш шатёр имя номер 2. понравиться находиться уединение далёкий среди гора река год собираться алтай катунь манить приехать друг сразу бронировать шатёр первый линия', 'любитель отель « включить » предсказуемость комфорт отель звезд-вы сюда приключение возможный выход зона комфорт из-за гроза отключить электроенергия кухня работать горячий вода связь скролить лента инстаграмм возможность хотеться близость природа отличный кухня дать цивилизация мастер класс попасть ризотто-это вкусно головокружительный пейзаж посиделки костёр глинтвейн гитара разговор прогулка гора лиса собака который жить айвенго прочь составить компания встретить табун лошадь забежать миноточка подъесть вкусный трава корова огромный качели который дух захватывать пляж песок', 'прожить потрясать день решить повезти наслать случайно дата забронировать отель построить план увидеть палатка берег река долго думать изменить наш план правый лагерь находиться берег река достаточно шумный любить спать тишина взять палатка 2й 3й линия дело отель хороший любой палатка вид просто потрясать хороший территория качели ребёнок кататься песочница игрушка зона мангал деревянный дорожка весь палатка обязательно порадовать множество резвиться суслик видеть территория отель весь отпуск', 'бронировать шатёр линия букинг адекватный наш взгляд цена 5400/сутки территория понравиться шатёр выглядеть здорово деревянный дорожка удобный территория пляж качели костровый зона бесплатный дрова находиться приятно хотеться вернуться сотрудник доброжелательный приветливый время приезд внимание оставить сразу встретить заселить ранний 14. географически глэмпинг удобно расположить живописный район недалеко жуткий чемаленький база кафешка магазин прочий инфраструктура расположить друг друг минус -терраса кафе доработать сделать презентабельный уютный наверное впереди -внутри шатёр хватать стул видеть', 'понравиться глэмпинг удаться забыть офис суета расслабляться вид гора шум катунь уютный минимализм шатёр вкусный еда лёгкий общение спасибо душевность живописность большой желание вернуться']"
19,"Папоротник,","['решить отдохнуть карелия выбрать думать отдохнуть получиться весь наоборот подъезд кемпингу-целый квест ещё бездорожье ещё снег убирать подъезд минус дорога плюс смотреть сказка попадать вид нереальный приехать понимать как-освещение ноль кроме твой фара встретить ребята проводить сказать дом ещё достроить ожидание хороший войти дом понимать ахтунг домик построить сдавать пол дсп окно доделать панорамный стоить кровать что-то подобие камин пахнуть газ подобие стол оставлять желать хороший ванная комната отдельный пост стоить биотуалет умывальник ссср деревня', 'компания 4х человек забронировать домик новогодний праздник протяжение декабрь переписываться руководство псевдоглемпинг спрашивать готовый домик наш прибытие день ещё уточнить сергей управлять контора готовый домик наш прибытие подтвердить готовый мочь приезжать также являться основатель постоянный развод деньга факт приехать увидеть несколько недостроенный дом который явно готовый проживание туалет водопроводный вода вообще никакой домик соответствовать описание фотография который скидывать группа либо преложения возврат деньга сергей сначала брать трубка категорически отказать возврат причём', 'отдать ночь лишний тысяча получить факт ... дать подумать .. букинг слово отсутствие электричество лишь тонкий намёк розетка соответственно холодильник привезти кг шашлык сыр йогурт давать хотеть свет несчастный', 'испанский стыд отдых больший развод сфера туризм пока встречать надеяться встреча сразу сказать привереда заниматься горный туризм останавливаться палатка свет удобство интернет прочее плохой дорога езжу-не страшно рубль ночь цена качество соотвествуют-они диаметрально противоположный накануне останавливаться турбаза идеальный подьезд отличный удобство полноценный кухня чистый комната заплатить показаться дорого знать папоротник-4500 показаться задаром довести ум-и брать деньга спасибо сказать неуютный окно шалаш обветшалый дырка видать вид', 'ставить палатка бог забытый который невозможно добраться легковой автомобиль повредить самый автомобиль экономить электричество палатка администрация значит розетка холодильник горячий вода т.д писать красивый описание сайт который соответствовать действительность называть глэмпинг вуаля глупый турист безысходность лето заграница закрытый российский размещение хватать платить тыс сутки естественно вперёд что-то нравиться хотеть уехать ранний твой проблема деньга никто вернуть претензия твой субъективный мнение который хозяин интересовать по-своему']"
20,"Polyana Glamping,","['потрясать локация идеальный провести время калининград приезжать второй впервые год глэмпинг территория заповедник весь вытекать преимущество живность прекрасный природа море думаться маленький ребёнок комфортно усмотрение родитель удобный кровать шатёр уступать уровень хороший отель цена приятный особенно подмосковный глэмпинг здорово вкусно поесть коса нормальный кафе полный комфорт повезти погода отдых удаться спасибо сотрудник глэмпинг организация прекрасный отдых', 'чудесный лоно природа рядом балтийский море широкий безлюдный пляж писать многие заслуга создатель называть', 'отдыхать жена красивый ночью петь птица романтично необыкновенно первый отдыхать подобный формат писать многие дороговатый согласиться полностью еда который подавать вообще никакой завтрак подавать долго холодное вечером заказать ям рыба суп пресный кислый рыба сухой слово невкусно долго персонал вежливый весь парень усик девушка бар остальной натягивать улыбка видно рада девушка глаз рыба весь поведение показывать достать красивый природа завораживать костёр ночью приятный']"
